origin,dest,count
LAS CONDES,PUDAHUEL,171
LAS CONDES,PUENTE ALTO,440
LAS CONDES,QUILICURA,160
LAS CONDES,QUINTA NORMAL,131
LAS CONDES,RECOLETA,240
LAS CONDES,SAN BERNARDO,180
LAS CONDES,SAN JOAQUIN,121
LAS CONDES,SAN MIGUEL,471
LAS CONDES,SANTIAGO,2384
LAS CONDES,TALAGANTE,155
LAS CONDES,VITACURA,7334
LINARES,LAS CONDES,134
LINARES,PUENTE ALTO,103
LINARES,SANTIAGO,245
LO BARNECHEA,COLINA,712
LO BARNECHEA,HUECHURABA,125
LO BARNECHEA,LA FLORIDA,141
LO BARNECHEA,LA REINA,155
LO BARNECHEA,LAMPA,185
LO BARNECHEA,LAS CONDES,3620
LO BARNECHEA,LO BARNECHEA,84479
LO BARNECHEA,MAIPU,116
LO BARNECHEA,NUNOA,329
LO BARNECHEA,PENALOLEN,143
LO BARNECHEA,PROVIDENCIA,677
LO BARNECHEA,PUENTE ALTO,116
LO BARNECHEA,SANTIAGO,445
LO BARNECHEA,VITACURA,2885
LO ESPEJO,BUIN,342
LO ESPEJO,CERRILLOS,799
LO ESPEJO,COLINA,206
LO ESPEJO,EL BOSQUE,659
LO ESPEJO,ESTACION CENTRAL,348
LO ESPEJO,INDEPENDENCIA,102
LO ESPEJO,LA CISTERNA,1039
LO ESPEJO,LA FLORIDA,311
LO ESPEJO,LA GRANJA,214
LO ESPEJO,LA PINTANA,451
LO ESPEJO,LAMPA,182
LO ESPEJO,LO ESPEJO,72739
LO ESPEJO,MACUL,107
LO ESPEJO,MAIPU,1042
LO ESPEJO,MELIPILLA,163
LO ESPEJO,NUNOA,114
LO ESPEJO,PADRE HURTADO,393
LO ESPEJO,PEDRO AGUIRRE CERDA,809
LO ESPEJO,PENAFLOR,156
LO ESPEJO,PENALOLEN,114
LO ESPEJO,PUDAHUEL,191
LO ESPEJO,PUENTE ALTO,656
LO ESPEJO,QUILICURA,135
LO ESPEJO,QUINTA NORMAL,103
LO ESPEJO,RECOLETA,112
LO ESPEJO,RENCA,137
LO ESPEJO,SAN BERNARDO,1092
LO ESPEJO,SAN JOAQUIN,148
LO ESPEJO,SAN MIGUEL,707
LO ESPEJO,SAN RAMON,137
LO ESPEJO,SANTIAGO,830
LO ESPEJO,TALAGANTE,144
LO PRADO,BUIN,180
LO PRADO,CERRILLOS,327
LO PRADO,CERRO NAVIA,927
LO PRADO,COLINA,206
LO PRADO,CONCHALI,128
LO PRADO,EL BOSQUE,111
LO PRADO,ESTACION CENTRAL,1133
LO PRADO,INDEPENDENCIA,206
LO PRADO,LA CISTERNA,131
LO PRADO,LA FLORIDA,356
LO PRADO,LA PINTANA,111
LO PRADO,LAMPA,463
LO PRADO,LO PRADO,70065
LO PRADO,MACUL,110
LO PRADO,MAIPU,1353
LO PRADO,MELIPILLA,140
LO PRADO,NUNOA,249
LO PRADO,PADRE HURTADO,283
LO PRADO,PENAFLOR,115
LO PRADO,PENALOLEN,125
LO PRADO,PROVIDENCIA,156
LO PRADO,PUDAHUEL,2291
LO PRADO,PUENTE ALTO,396
LO PRADO,QUILICURA,306
LO PRADO,QUINTA NORMAL,1035
LO PRADO,RECOLETA,172
LO PRADO,RENCA,410
LO PRADO,SAN BERNARDO,269
LO PRADO,SAN JOAQUIN,104
LO PRADO,SAN MIGUEL,262
LO PRADO,SANTIAGO,1257
LOS ANDES,LAS CONDES,180
