origin,dest,count
PUERTO MONTT,OSORNO,1004
PUERTO MONTT,PUERTO MONTT,224264
PUERTO MONTT,PUERTO VARAS,1356
PUERTO MONTT,SANTIAGO,629
PUERTO MONTT,TEMUCO,609
PUERTO MONTT,VALDIVIA,754
PUERTO MONTT,VINA DEL MAR,512
PUERTO OCTAY,PUERTO OCTAY,6822
PUERTO VARAS,PUERTO MONTT,1493
PUERTO VARAS,PUERTO VARAS,38059
PUMANQUE,PUMANQUE,3163
PUNITAQUI,PUNITAQUI,9900
PUNTA ARENAS,NATALES,582
PUNTA ARENAS,PUERTO MONTT,661
PUNTA ARENAS,PUNTA ARENAS,111417
PUNTA ARENAS,SANTIAGO,564
PUNTA ARENAS,VINA DEL MAR,1147
PUQUELDON,PUQUELDON,3388
PUREN,PUREN,10463
